기관명,주소,시작일,종료일,홈페이지 주소,담당기관,전화번호호
해맞이축제,대구광역시 서구 새방로 171,2025-01-01,2025-01-01,http://www.dgs.go.kr/tour/,대구광역시 서구새마을회,053-663-2181
평창송어축제,강원특별자치도 평창군 진부면 경강로 3562,2025-01-03,2025-02-02,www.festival700.or.kr,평창송어축제위원회,033-336-4000
평창송어축제,강원특별자치도 평창군 진부면 경강로 3562,2025-01-03,2025-02-02,https://www.festival700.or.kr/,평창송어축제위원회,033-336-4000
금원산 얼음축제,경상남도 거창군 위천면 금원산길 412,2025-01-10,2025-01-16,https://blog.naver.com/gnfeel/223705284492,경상남도 산림환경연구원,055-254-3971
얼음나라화천 산천어축제,강원특별자치도 화천군 화천읍 산천어길 137,2025-01-11,2025-02-02,https://www.narafestival.com/01_icenara/,강원특별자치도 화천군청+재단법인나라,1688-3005
2025 얼음나라 화천 산천어축제,강원특별자치도 화천군 화천읍 산천어길 137,2025-01-11,2025-02-02,www.narafestival.com,(재)나라,1688-3000
대관령눈꽃축제,강원특별자치도 평창군 대관령면 대관령로 135-9,2025-01-24,2025-02-02,www.snowfestival.net,대관령면축제위원회,033-335-3995
강진청자축제,전라남도 강진군 대구면 청자촌길 21-11,2025-02-22,2025-03-03,https://www.gangjin.go.kr/culture/festival,강진군 축제추진위원회,061-430-3354
3.1민속문화제,경상남도 창녕군 영산면 영산계성로 110-15,2025-02-28,2025-03-03,https://www.cng.go.kr/01659/02138/02154.web,동·서부 추진본부 및 각 주관부서,055-530-1461
제22회 강북구 3·1독립운동 기념행사,서울특별시 강북구 삼양로173길 107-12,2025-03-01,2025-03-01,www.gangbuk.go.kr,서울특별시 강북구청,02-901-6204
원동매화축제,경상남도 양산시 원동면 원동로 2220,2025-03-01,2025-03-03,https://yangsanfes.com/,원동매화축제추진위원회,055-392-2547
2025 섬 홍매화축제,전라남도 신안군 임자면 대광해수욕장길 179,2025-03-07,2025-03-09,https://tour.shinan.go.kr/,축제추진위원회,061-240-4048
논산딸기축제,충청남도 논산시 체육로 110 (관촉동),2025-03-27,2025-03-30,https://www.nonsan.go.kr/nsfestival/,(재)논산문화관광재단,041-730-2983
제23회 옥천묘목축제,충청북도 옥천군 이원면 이원로 830,2025-03-28,2025-03-30,https://www.oc.go.kr/tour/contents.do?key=2495,옥천묘목축제추진위원회,043-730-3592
