ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,OPMTN_PLACE_NM,FSTVL_BEGIN_DE,FSTVL_END_DE,FSTVL_CN,MNNST_NM,AUSPC_INSTT_NM,SUPRT_INSTT_NM,TEL_NO,HMPG_ADDR,RELATE_INFO_CN,데이터기준일자,PROVD_INSTT_CD,PROVD_INSTT_NM,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
"KC488PO24N000001","행사","행사","반포서래 한불음악축제","서울특별시","서초구","1165010700","반포동","1165058100","반포4동","116502121003","서울특별시 서초구 반포대로 217","06578","다사560445","127.0031069","37.4994265","조달청 주차장","2024-06-15","2024-06-15","체험부스+먹거리+지역주민 및 초청가수 공연","반포4동 주민자치위원회","반포4동 주민자치위원회",,,,,"2024-08-06","3210000","서울특별시 서초구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000002","행사","행사","2024 행복광진 힐링축제","서울특별시","광진구","1121510100","중곡동","1121576000","중곡3동","112153104007","서울특별시 광진구 능동로 400","04933","다사633518","127.0845713","37.5649434","중곡역 소공원 일대","2024-09-07","2024-09-07","초대가수 축하 공연, 지역가수 축하 공연","서울특별시 광진구","서울특별시 광진구",,"02-450-7638",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000003","행사","행사","광진가족 클래식 음악산책 지브리 콘서트","서울특별시","광진구","1121510700","화양동","1121571000","화양동","112153104007","서울특별시 광진구 능동로 120","05029","다사626493","127.0767969","37.5427622","건국대 새천년관 대공연장","2024-09-10","2024-09-10","스튜디오 지브리 미야자키 하야오의 애니메이션 OST연주","서울특별시 광진구","서울특별시 광진구",,"02-450-7597",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000004","행사","행사","2024 청춘대로","서울특별시","광진구","1121510200","능동","1121578000","능동","112153104007","서울특별시 광진구 능동로 216","04991","다사630500","127.0815526","37.5489715","능동로 분수광장, 숲속의 무대 등 능동로 일대","2024-09-26","2024-09-28","청년페스티벌 축하 공연 등 다양한 청년참여 프로그램 운영","서울특별시 광진구","서울특별시 광진구",,"02-450-7596",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000005","행사","행사","2024 피크닉인나루","서울특별시","광진구","1121510200","능동","1121578000","능동","112153104007","서울특별시 광진구 능동로 216","04991","다사630500","127.0815526","37.5489715","어린이대공원 숲속의무대","2024-10-05","2024-10-05","전세대 공감 친환경 콘서트","서울특별시 광진문화재단","서울특별시 광진문화재단",,"02-2049-4700",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000006","행사","행사","2024년 제1회 광진생활문화예술축제","서울특별시","광진구","1121510200","능동","1121578000","능동","112153104007","서울특별시 광진구 능동로 216","04991","다사630500","127.0815526","37.5489715","어린이대공원 문화의거리, 사전행사(9/20 커먼그라운드_공방예술마켓)","2024-10-11","2024-10-12","음악공연 및 노래자랑, 자치회관+문화원+문화예술회관 수강생 발표회 및 전시회, 공방예술마켓","서울특별시 광진구","서울특별시 광진구",,"02-450-7573",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000007","행사","행사","클래식소풍","서울특별시","광진구","1121510200","능동","1121578000","능동","112153104007","서울특별시 광진구 능동로 216","04991","다사630500","127.0815526","37.5489715","어린이대공원 구의문 잔디광장","2024-10-19","2024-10-19","야외클래식 오케스트라 공연 및 팝페라 가수 등 협연 공연","서울특별시 광진구","서울특별시 광진구",,"02-450-7597",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000008","행사","행사","2025 아차산 해맞이 축제","서울특별시","광진구","1121510400","광장동","1121581000","광장동","112153104009","서울특별시 광진구 워커힐로 127","04965","다사647503","127.101243","37.5518982","아차산 어울림 광장","2025-01-01","2025-01-01","새해덕담+ 문화공연+ 일출감상","서울특별시 광진구","서울특별시 광진구",,"02-450-7596",,,"2024-11-07","3040000","서울특별시 광진구","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000009","행사","행사","거창크리스마스트리문화축제","경상남도","거창군","4888025021","거창읍 상림리","4888025000","거창읍","488803347018","경상남도 거창군 거창읍 중앙로 103","50132","라마370434","127.909539","35.6866668","거창군청 일원","2024-12-06","2025-01-31","트리문화축제 공연 등","거창크리스마스트리문화축제위원회","거창크리스마스트리문화축제위원회","경상남도 거창군","055-943-3579","https://www.gcctf.co.kr/",,"2025-03-01","5470000","경상남도 거창군","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
"KC488PO24N000010","행사","행사","금원산 얼음축제","경상남도","거창군","4888035023","위천면 상천리","4888035000","위천면","488804841111","경상남도 거창군 위천면 금원산길 412","50103","라마268480","127.7968027","35.728745","금원산 휴양림","2025-01-10","2025-01-16","얼음미끄럼틀 등","경상남도 산림환경연구원","경상남도 산림환경연구원","경상남도 거창군","055-254-3971","https://blog.naver.com/gnfeel/223705284492",,"2025-03-01","5470000","경상남도 거창군","20250401","문화체육관광부","KC_488_WNTY_CLTFSTVL_2024","20250331"
